gid,v1,v2,v3,v4,v5,v6,v7,v,v9,v10
1,0,-1,-1,1,0,2,-1,0,-1,0
1,0,0,1,0,0,1,-1,-1,-1,0
1,2,1,1,0,0,0,-1,-1,1,-2
1,0,0,1,1,1,-1,0,2,-2,1
1,-1,2,0,0,-1,-1,1,-1,1,0
1,-1,0,0,-1,0,-2,0,1,0,-1
1,1,0,0,2,0,-1,0,1,-1,1
1,1,0,1,0,-1,0,-1,-2,0,-1
1,-1,-2,2,0,-2,0,-1,0,3,1
1,1,0,0,2,0,0,-2,-2,1,0
1,1,0,0,-1,-1,1,1,1,-1,1
1,-1,0,0,0,0,0,0,-1,1,1
1,0,0,0,-1,-1,-1,0,-1,-1,0
1,1,0,0,-1,0,0,0,0,0,-3
1,1,0,1,0,0,0,0,-1,0,0
1,1,-1,1,-1,-2,0,1,1,0,2
1,0,0,0,0,0,-1,-1,-1,2,0
1,-1,0,1,0,-1,0,0,3,-1,-2
1,0,-1,-1,-1,1,1,1,-1,3,0
1,-1,0,1,-3,-1,-1,-2,1,0,0
1,-2,-1,1,1,2,-1,0,1,-1,-3
1,-1,-1,1,-1,1,0,1,0,-1,0
1,0,0,-1,1,-1,-3,-2,0,0,-1
1,0,0,0,0,-1,1,2,-1,1,0
1,-3,-1,2,3,-2,-1,0,0,0,2
1,0,0,0,0,1,-1,1,0,-2,1
1,1,-1,-1,0,0,0,0,0,0,0
1,0,2,0,1,-1,0,2,0,0,2
1,-1,1,-1,1,0,2,0,0,-2,-1
1,2,0,0,0,-2,-1,1,0,-1,1
1,0,-1,0,-1,1,0,0,1,0,-1
1,0,1,0,0,0,1,-1,-2,1,1
1,0,1,1,-1,0,0,-1,1,1,0
1,0,0,-2,0,1,0,-1,0,0,-2
1,1,0,-1,0,1,0,0,1,-1,0
1,-1,0,1,2,0,-1,2,0,2,-1
1,-1,0,-1,-2,-1,0,1,0,0,0
1,-1,-2,1,0,-2,1,-1,0,0,0
1,0,-1,0,-1,0,1,1,-2,2,1
1,-2,1,0,-1,1,-1,0,-1,1,1
1,-2,1,0,-1,1,-1,1,0,1,-1
1,1,1,-1,1,0,0,1,0,0,1
1,2,1,1,1,0,0,2,1,0,-1
1,2,0,0,0,0,-1,-1,1,-1,2
1,1,0,1,0,0,-1,0,0,-2,-1
1,1,-2,0,0,-2,0,0,1,0,0
1,0,-1,1,0,0,0,0,0,1,2
1,0,0,-1,1,0,-1,-1,1,2,1
1,0,0,0,0,-2,-3,0,0,-1,1
1,-1,-1,1,0,0,0,0,0,2,0
1,0,0,1,-1,1,0,-1,0,0,0
1,-1,1,1,1,0,-2,0,-1,1,-1
2,5,4,10,1,3,2,2,6,5,2
2,3,8,4,4,5,9,9,6,10,3
2,4,8,4,4,4,8,10,6,10,4
2,5,3,9,2,3,2,2,7,5,2
2,3,9,4,4,4,8,10,7,10,3
2,3,8,3,6,4,9,9,7,10,3
2,3,8,4,5,5,8,9,7,9,3
2,4,3,10,2,3,2,2,5,6,2
2,10,4,4,6,3,1,6,10,3,6
2,4,9,3,5,4,8,9,6,11,3
2,4,4,10,2,3,2,2,6,6,1
2,5,3,9,2,4,2,3,6,5,2
2,5,3,9,2,3,2,3,6,5,3
2,3,7,4,5,3,8,8,8,10,4
2,5,2,9,1,3,2,3,6,6,1
2,2,8,4,4,4,7,9,6,10,4
2,4,4,10,2,2,2,3,6,5,2
2,5,3,10,2,3,3,2,6,6,2
2,2,9,4,5,5,9,9,6,10,3
2,3,8,4,5,4,8,9,6,10,3
2,3,9,4,5,4,8,9,7,10,4
2,4,9,4,5,5,9,9,6,12,4
2,3,8,4,4,5,7,9,6,10,4
2,4,3,10,1,3,2,2,6,5,2
2,5,4,10,2,3,1,3,6,5,2
2,4,3,10,1,3,1,2,6,5,1
2,3,9,4,5,4,8,10,7,10,4
2,4,3,9,2,3,2,2,6,6,1
2,3,8,4,4,5,8,10,6,10,4
2,4,9,3,5,5,9,9,7,10,4
2,3,9,4,4,5,8,9,7,9,4
2,4,9,4,5,4,8,8,7,10,4
2,5,4,10,2,3,2,3,6,6,2
2,4,3,9,1,4,2,2,6,5,1
2,5,4,11,1,4,2,3,7,6,1
2,3,8,4,5,5,7,8,7,10,4
2,6,4,9,1,3,2,3,6,5,2
2,5,3,10,2,3,2,2,6,5,1
2,2,9,4,5,5,9,9,7,10,4
2,3,8,4,5,5,8,9,7,10,4
2,3,9,5,5,4,8,9,6,10,4
2,5,3,10,2,4,2,3,5,5,1
2,3,9,4,4,5,8,9,7,9,4
2,11,3,3,6,2,0,6,9,3,6
2,2,9,4,5,5,8,8,6,10,4
2,3,9,4,4,5,8,9,6,10,4
2,2,8,4,5,4,8,9,7,9,3
2,4,3,9,1,3,2,3,7,6,1
2,5,3,10,3,3,2,2,6,6,1
2,5,2,10,1,3,2,3,7,5,2
2,4,3,10,2,4,2,2,6,6,2
2,10,4,4,6,4,0,5,10,3,6
2,5,3,10,2,3,2,2,6,6,2
2,3,8,4,4,5,7,9,6,9,3
2,3,9,4,5,6,8,9,6,9,4
2,5,3,9,2,3,2,2,5,5,2
2,4,3,10,1,3,3,3,6,5,1
2,4,9,5,4,4,9,8,7,9,4
2,4,4,10,1,4,2,3,6,5,2
2,2,9,4,5,5,9,9,7,9,4
2,5,4,10,3,4,2,3,6,5,1
2,5,3,10,2,4,2,3,6,6,1
2,3,8,5,4,5,8,9,6,10,4
2,4,3,9,2,3,1,3,7,5,2
2,3,9,3,4,5,8,9,6,10,4
2,3,8,4,5,4,8,9,7,10,4
2,5,3,9,2,4,2,3,6,6,1
2,5,3,10,2,4,2,3,6,6,2
2,3,8,4,4,5,9,9,6,10,4
2,5,3,10,2,2,2,3,6,5,2
2,5,3,9,2,3,2,2,7,6,2
2,5,3,10,2,3,3,3,7,6,2
2,4,3,10,2,3,2,3,5,6,2
2,5,3,10,2,3,2,2,5,6,2
2,5,3,10,3,4,2,3,6,5,2
2,3,9,4,5,5,8,9,6,10,4
2,4,4,11,2,4,2,3,6,5,1
2,4,3,9,2,3,3,2,7,5,2
2,3,9,4,4,4,8,8,7,10,3
2,3,9,4,5,4,8,8,8,10,4
2,3,9,4,4,5,8,9,7,10,4
2,3,8,5,4,6,8,9,7,9,4
2,5,4,10,2,3,2,2,5,6,2
2,5,3,10,2,4,2,3,6,6,2
2,3,8,4,4,4,8,9,7,10,4
2,9,3,4,5,3,1,6,10,2,6
2,3,8,4,4,4,8,9,6,10,4
2,2,9,5,5,4,8,9,7,10,4
2,3,8,4,5,5,9,8,7,10,3
2,3,9,4,5,5,8,9,7,9,4
2,6,3,10,3,3,2,2,7,6,2
2,4,3,9,2,3,2,2,6,6,2
2,3,9,4,4,4,8,9,7,10,4
2,5,3,9,2,3,2,2,6,5,2
2,3,9,5,4,4,8,9,6,10,4
2,2,8,4,5,5,9,8,6,10,4
2,5,4,10,3,4,3,3,6,6,2
2,10,4,3,6,3,1,6,10,3,6
2,3,9,4,4,4,8,9,6,10,4
2,6,3,10,2,4,1,3,6,6,2
2,3,9,4,4,5,8,9,6,10,3
2,5,3,10,3,3,3,3,6,5,2
2,5,3,10,2,3,3,3,7,6,2
2,5,3,9,1,3,2,2,7,6,1
3,2,9,4,4,4,8,10,7,9,3
3,6,3,9,2,3,2,3,6,6,2
3,5,4,9,2,4,2,3,6,5,2
3,5,3,11,3,4,2,3,6,5,2
3,5,4,10,2,3,2,2,6,5,1
3,4,3,10,3,3,2,3,7,6,1
3,5,2,10,2,4,3,2,6,5,2
3,4,4,9,2,3,3,3,6,5,2
3,9,4,4,7,3,1,6,9,3,6
3,4,4,10,2,3,3,2,6,5,2
3,3,9,5,4,4,8,8,6,10,3
3,5,3,10,2,3,2,3,6,6,2
3,3,8,4,5,5,8,8,6,10,4
3,4,3,9,2,3,2,3,6,6,2
3,5,3,9,1,3,2,2,7,5,2
3,2,9,4,5,4,9,9,7,9,5
3,4,3,11,2,3,1,3,7,5,2
3,5,4,10,1,3,2,3,7,5,2
3,4,3,10,2,4,2,2,5,6,2
3,5,3,11,1,3,2,3,6,6,2
3,4,3,10,2,3,2,3,6,6,2
3,3,8,4,4,4,8,9,7,10,4
3,4,3,9,2,2,2,3,7,5,2
3,5,3,10,2,4,3,2,6,6,2
3,4,3,10,3,3,2,2,6,6,2
3,5,3,10,2,3,3,2,6,5,2
3,5,4,10,2,4,2,3,7,6,2
3,5,3,9,2,3,2,2,6,5,1
3,5,3,10,3,4,1,2,6,6,1
3,6,4,9,1,3,2,3,7,6,1
3,5,3,10,2,3,3,3,6,5,2
3,10,4,3,6,5,0,6,10,2,6
3,4,4,10,2,3,1,3,6,5,2
3,5,4,9,2,3,2,3,6,5,2
3,4,3,9,2,3,2,3,6,6,2
3,4,4,10,2,3,2,3,6,6,2
3,3,9,5,5,5,8,10,6,11,5
3,5,3,10,2,4,2,3,6,6,2
3,5,4,10,2,4,3,3,6,6,2
3,5,3,10,2,4,2,2,6,6,1
3,4,3,10,2,3,1,3,6,5,2
3,10,3,4,6,4,1,5,11,3,6
3,4,3,10,2,3,2,3,7,6,1
3,5,3,10,2,3,2,2,6,6,2
3,4,4,9,2,3,3,2,7,5,2
3,5,3,10,2,3,2,2,6,6,1
3,3,9,4,4,4,8,8,7,9,3
3,6,4,10,2,3,2,3,6,6,2
3,9,3,3,6,3,1,6,9,3,7
3,5,4,9,2,3,3,3,6,6,2
3,5,3,10,2,3,2,3,6,5,2
3,5,3,10,2,3,2,2,7,6,1
3,5,3,10,2,3,3,2,6,6,0
3,5,3,10,2,3,3,2,6,5,2
3,4,3,9,2,3,2,3,6,5,2
3,6,3,10,2,4,3,2,6,5,1
3,5,3,9,3,4,2,2,6,5,1
3,5,3,8,2,3,2,2,6,5,2
3,5,2,9,2,2,2,4,6,5,2
3,4,4,10,2,3,2,2,6,6,2
3,10,3,3,6,3,1,7,10,2,6
3,5,4,10,2,3,2,3,6,5,2
3,4,3,11,2,3,2,3,6,5,1
3,9,4,4,6,3,1,6,10,2,6
3,4,4,9,2,3,2,3,6,5,2
3,10,3,4,6,3,1,6,9,2,6
3,4,4,9,2,3,2,3,6,6,2
3,10,3,3,6,3,1,5,10,3,6
3,5,3,10,3,4,2,3,6,6,2
3,2,9,4,4,4,8,9,6,10,4
3,4,3,10,2,3,3,2,6,5,2
3,5,3,10,2,4,2,2,5,5,1
3,5,4,9,2,4,2,3,6,6,1
3,5,4,10,2,3,3,3,6,5,3
3,5,4,10,2,4,3,2,6,5,2
3,5,3,10,2,3,2,3,6,5,2
3,4,4,10,3,4,2,2,6,5,1
3,4,4,9,1,4,2,3,6,5,2
3,4,3,9,2,4,2,2,6,6,2
3,4,3,10,2,3,3,3,6,5,2
3,4,3,9,2,4,2,2,7,6,2
3,5,4,10,2,3,2,2,6,5,1
3,5,2,10,3,3,3,2,6,6,2
3,5,3,10,2,4,1,3,7,6,2
3,4,3,10,2,4,2,2,6,6,1
3,5,3,10,2,4,1,3,6,6,2
3,5,4,9,2,4,2,3,6,6,1
4,3,8,4,4,5,8,9,6,9,4
4,9,3,4,6,4,1,6,10,2,7
4,10,4,2,6,4,0,6,9,3,6
4,10,3,3,6,4,1,7,9,3,6
4,10,4,4,6,4,0,6,10,3,6
4,2,9,4,4,5,9,9,7,9,4
4,3,8,4,4,5,9,8,6,11,4
4,9,4,4,5,4,0,6,9,2,6
4,2,9,4,4,5,9,9,7,11,4
4,10,4,4,6,3,1,6,9,2,6
4,3,8,4,5,4,9,9,7,10,4
4,3,8,4,4,5,9,9,7,10,4
4,3,8,4,4,5,9,8,6,10,4
4,2,8,4,4,5,8,9,7,9,4
4,10,2,3,5,3,1,6,10,3,6
4,11,3,4,6,4,1,7,10,2,6
4,3,9,4,4,5,9,9,7,11,4
4,10,4,3,6,4,1,6,10,3,7
4,10,4,3,5,4,0,6,10,2,7
4,3,9,4,4,5,8,8,6,10,4
4,10,3,4,5,4,1,7,9,2,6
4,9,4,3,6,3,0,6,10,3,6
4,10,4,4,6,4,1,6,10,2,6
4,9,3,4,6,3,0,7,10,3,6
4,3,8,4,5,4,9,8,6,10,4
4,10,4,3,6,3,1,6,10,2,7
4,11,3,3,5,3,1,7,10,3,6
4,3,8,4,4,5,7,10,7,10,3
4,3,9,4,5,5,8,9,7,10,4
4,10,4,3,6,3,1,6,9,2,6
4,3,8,3,5,4,9,9,6,10,4
4,10,3,3,6,4,1,6,9,2,6
4,11,3,4,6,4,0,5,9,3,5
4,4,9,3,4,5,9,9,8,11,4
4,3,9,4,4,5,9,9,7,11,3
4,2,9,4,5,5,8,9,7,10,4
4,9,4,3,6,4,1,6,10,2,5
4,3,9,5,5,5,8,9,6,10,4
4,10,3,4,6,3,1,5,10,2,6
4,9,5,2,6,4,1,6,10,2,6
4,3,8,4,5,4,8,9,7,10,4
4,10,4,4,6,3,1,5,10,2,7
4,3,9,4,4,4,8,8,7,9,4
4,10,4,3,6,4,1,5,10,2,6
4,3,8,4,5,5,8,10,6,10,3
4,10,4,4,5,3,1,6,9,3,6
4,10,4,3,5,3,0,6,10,2,6
4,10,3,4,6,3,1,6,10,3,6
4,9,3,3,5,4,1,6,9,2,6
4,3,8,4,5,4,8,9,7,10,4
4,10,3,4,6,3,1,6,10,3,6
4,10,4,4,6,4,1,6,10,1,6
4,3,9,4,5,4,8,9,6,11,4
4,3,9,4,6,4,9,8,7,9,3
4,10,3,4,5,4,2,6,9,3,6
4,9,3,3,6,3,1,6,10,2,5
4,9,4,3,6,4,0,6,10,2,6
4,3,8,4,4,5,8,10,7,10,4
4,3,9,5,5,5,8,9,7,9,4
4,11,4,3,6,3,1,6,10,3,6
4,3,8,4,4,5,8,9,7,11,4
4,4,9,4,5,5,8,9,6,10,3
4,10,4,3,6,3,1,6,10,2,6
4,2,9,3,4,5,8,9,6,10,4
4,9,4,3,5,4,0,6,10,3,7
4,4,9,4,4,5,9,9,6,10,3
4,11,4,2,7,3,1,6,10,3,6
4,5,3,11,2,4,3,2,6,6,2
4,9,4,4,6,3,0,6,9,3,5
4,3,8,4,5,5,9,9,7,9,4
4,10,3,4,6,3,0,6,10,2,7
4,3,9,3,4,4,8,9,6,10,5
4,3,9,4,5,5,8,10,7,10,4
4,4,8,4,4,5,8,9,7,10,3
4,3,9,4,4,4,8,9,6,10,4
4,11,4,4,6,4,1,6,10,3,6
4,3,9,4,4,4,8,10,6,10,4
4,3,9,4,4,5,8,9,7,10,3
4,10,5,3,6,3,1,6,10,2,5
4,2,8,4,4,4,8,9,6,11,4
4,3,9,4,5,4,8,9,7,11,4
4,10,4,3,5,3,0,6,10,2,6
4,9,4,3,6,4,0,6,10,2,6
4,2,10,5,4,5,9,8,6,10,4
4,10,4,4,6,4,1,6,10,3,6
4,3,9,5,4,4,8,9,6,10,4
4,10,4,3,6,4,1,6,10,1,6
4,2,9,4,5,5,8,9,7,9,4
4,3,9,4,5,5,9,9,7,10,4
4,2,9,4,4,5,8,8,6,9,4
4,10,3,3,5,4,0,5,10,2,6
4,3,9,4,4,5,8,9,7,10,4
5,5,3,10,1,3,2,3,7,6,2
5,9,3,4,6,4,1,5,9,2,6
5,5,3,10,3,3,2,2,6,5,2
5,10,3,4,6,4,1,7,10,2,5
5,5,4,10,2,3,2,2,6,6,2
5,4,3,10,2,4,3,3,7,5,2
5,5,3,9,2,3,2,3,6,6,1
5,6,4,9,1,3,3,2,7,5,2
5,5,3,10,2,3,3,2,7,6,2
5,4,3,9,2,4,2,3,6,6,1
5,5,3,10,2,3,2,2,7,6,2
5,4,4,11,3,4,3,3,6,6,2
5,10,2,3,6,3,1,6,10,3,6
5,5,3,10,2,4,2,3,6,6,2
5,5,3,10,2,2,2,3,6,6,3
5,9,4,4,6,4,0,6,9,2,6
5,4,4,10,2,3,2,3,6,5,2
5,5,3,10,2,3,3,3,6,6,1
5,5,3,10,3,3,2,2,6,6,2
5,10,4,4,6,5,0,6,11,3,6
5,5,4,10,2,3,3,3,7,6,2
5,5,4,10,1,3,2,3,6,6,2
5,5,3,9,2,3,2,3,6,6,2
5,10,3,3,5,3,0,6,10,3,6
5,10,3,3,6,3,1,6,10,3,6
5,10,4,3,5,4,1,6,10,3,7
5,10,3,3,6,4,1,5,10,2,6
5,5,4,10,2,3,2,3,6,5,1
5,11,4,3,6,4,1,6,10,2,6
5,4,3,10,2,4,2,3,6,6,2
5,10,4,3,6,3,0,6,9,3,6
5,5,3,9,2,3,2,3,6,6,2
5,5,3,9,2,4,2,3,6,6,1
5,9,4,3,6,4,1,6,10,2,6
5,5,4,9,2,2,3,2,6,6,2
5,5,3,10,2,3,1,3,6,5,1
5,9,3,4,6,3,1,6,9,2,6
5,10,3,3,6,3,1,6,9,2,6
5,5,3,10,2,3,2,2,6,6,2
5,4,3,10,3,3,3,2,6,6,2
5,5,3,10,2,3,2,3,5,5,2
5,10,4,4,6,4,1,6,9,2,5
5,4,3,10,2,4,3,2,6,7,2
5,5,3,9,2,3,2,3,6,6,2
5,10,3,4,6,5,0,6,10,3,6
5,5,3,9,3,3,2,3,5,5,2
5,10,3,4,6,3,1,6,9,3,6
5,10,3,4,6,3,1,6,9,3,6
5,5,3,9,2,3,3,2,6,5,1
5,3,9,4,4,5,8,9,7,11,3
5,5,3,10,2,4,2,3,6,6,1
5,5,4,10,2,3,2,3,6,6,2
5,5,4,9,1,3,3,2,7,6,2
5,5,2,11,3,3,3,3,6,6,2
5,10,3,3,6,4,0,6,10,3,6
5,5,3,9,2,3,2,2,7,5,2
5,5,3,10,2,3,2,3,5,5,1
5,10,3,4,6,3,1,6,10,3,6
5,9,3,3,6,4,0,6,9,2,6
5,5,3,10,2,4,2,3,6,6,2
5,5,4,9,1,3,3,2,7,4,2
5,10,4,3,6,4,0,6,10,3,5
5,9,3,3,6,4,0,6,10,3,7
5,4,3,10,2,4,2,3,6,6,2
5,5,3,10,2,4,3,3,6,7,2
5,5,3,9,1,4,2,3,6,6,2
5,11,4,3,6,3,1,6,10,2,6
5,4,3,10,2,4,3,3,6,6,2
5,10,3,4,6,4,1,6,9,2,6
5,5,3,10,2,3,2,3,6,5,2
5,10,3,4,5,4,1,6,9,2,6
5,10,3,3,6,3,0,5,9,3,6
5,4,3,10,2,3,1,3,6,6,2
5,5,4,9,1,4,2,2,6,6,2
5,3,10,3,4,5,8,8,6,10,3
5,5,3,9,2,4,2,3,6,6,2
5,5,4,10,2,3,2,3,6,6,2
5,5,3,9,3,2,2,3,6,5,1
5,10,3,4,6,3,1,5,10,3,6
5,9,4,4,6,3,1,7,9,3,6
5,10,4,3,6,4,0,6,10,2,6
5,9,4,4,6,3,1,6,9,3,7
5,10,4,3,6,4,1,6,10,3,6
5,4,3,10,2,4,1,3,5,6,2
5,5,4,10,2,4,2,2,5,6,2
5,6,3,10,1,3,1,3,6,6,2
5,5,3,9,2,3,2,3,6,6,2
5,4,4,9,1,3,2,3,7,6,3
5,5,3,10,2,3,2,2,6,5,1
5,9,4,3,5,4,1,7,9,2,7
5,4,3,10,2,3,2,2,6,6,2
5,5,3,9,2,4,3,3,7,6,2
5,4,3,10,1,3,3,2,6,6,2
5,5,4,11,2,3,2,1,6,6,1
5,4,3,10,1,4,2,2,6,6,2
5,5,3,10,2,4,3,3,6,6,3
5,5,2,10,2,3,2,3,6,6,2
5,10,3,4,6,3,1,6,10,2,6
5,3,8,4,5,5,9,9,6,9,4
5,9,4,3,6,3,1,6,10,2,6
5,5,2,10,1,3,2,3,6,5,1
5,4,4,10,2,4,2,2,6,5,1
5,3,9,5,4,5,8,9,6,10,4
5,10,4,4,5,3,1,6,10,2,6
5,5,3,9,2,3,2,2,7,5,2
5,4,4,10,2,4,2,2,5,6,1
5,10,3,4,6,3,0,7,10,3,6
5,5,3,10,2,4,3,2,6,5,2
5,4,2,10,2,3,2,3,6,5,2
5,5,3,10,1,3,2,2,6,5,1
5,5,3,10,3,3,3,3,7,5,2
5,4,3,10,2,3,2,3,6,6,2
5,10,4,4,6,3,0,6,9,3,6
5,5,4,9,2,3,2,2,6,6,2
5,5,3,10,3,3,1,3,6,6,2
6,5,3,10,2,2,2,2,6,6,2
6,5,4,10,2,4,2,3,6,5,2
6,5,3,10,1,4,2,3,6,6,2
6,5,3,10,2,4,2,3,6,5,1
6,4,3,10,1,3,2,3,6,6,1
6,5,4,12,2,3,2,2,6,5,2
6,9,2,3,6,5,0,6,10,2,6
6,5,4,10,2,4,3,3,7,6,2
6,4,4,10,2,3,1,2,6,5,2
6,4,3,10,3,3,2,2,5,5,1
6,5,4,10,3,4,2,4,6,5,2
6,5,3,9,2,3,2,3,5,5,2
6,5,3,10,2,3,2,2,6,5,2
6,9,4,4,6,4,0,5,10,3,6
6,10,4,4,6,3,0,6,9,3,5
6,5,3,9,2,4,2,2,6,6,2
6,10,4,3,5,4,1,7,10,3,7
6,5,3,10,1,3,3,3,6,6,2
6,5,3,10,1,3,2,3,6,5,2
6,5,5,9,2,3,3,2,6,5,2
6,5,3,9,3,2,1,2,6,6,2
6,4,4,9,2,3,2,3,6,5,2
6,10,4,4,6,4,0,6,10,2,6
6,5,3,9,3,3,3,3,6,6,2
6,9,3,3,6,4,0,6,10,3,6
6,5,3,10,2,3,3,4,6,6,1
6,10,3,4,5,4,1,6,10,2,7
6,4,3,10,3,2,2,3,5,5,1
6,5,3,10,2,3,2,2,7,5,3
6,4,3,10,2,3,2,3,6,6,2
6,5,3,10,2,3,2,3,6,6,1
6,3,8,4,5,5,9,9,7,10,3
6,4,3,9,2,3,2,2,6,5,2
6,11,4,4,6,4,1,6,10,2,6
6,10,4,3,5,2,2,6,10,2,6
6,9,3,2,5,3,0,7,10,3,6
6,9,4,4,6,4,2,7,9,3,5
6,9,3,3,6,3,1,6,10,3,6
6,10,4,3,5,4,1,6,9,2,6
6,4,3,10,1,4,1,3,6,6,1
6,4,3,9,2,3,3,3,6,5,1
6,9,4,4,7,3,2,6,10,3,5
6,9,4,4,5,4,0,6,10,2,6
6,5,3,10,2,3,3,3,6,6,2
6,5,3,10,2,3,2,3,7,5,1
6,3,8,4,6,5,8,9,6,10,4
6,10,4,3,6,4,0,5,9,3,6
6,5,3,9,2,4,2,3,6,6,2
6,5,3,10,2,3,2,3,6,5,2
6,10,4,4,6,4,2,6,10,2,6
6,11,4,3,6,4,0,7,11,2,6
6,11,3,3,6,3,1,7,9,3,6
6,5,3,10,2,3,3,3,6,5,2
6,5,3,9,2,3,2,2,6,6,2
6,10,5,3,6,3,1,5,10,3,6
6,4,3,10,2,3,2,3,6,5,1
6,5,3,9,2,3,3,3,6,5,2
6,5,4,9,3,3,3,3,6,6,2
6,6,4,9,3,3,2,3,6,6,3
6,5,3,10,1,3,2,2,6,6,2
6,6,3,9,2,3,2,3,5,6,2
6,9,3,4,5,4,1,5,10,3,6
6,4,3,9,2,4,2,3,5,6,1
6,4,3,11,2,4,3,3,6,5,2
6,4,3,9,2,3,3,2,5,5,2
6,5,4,10,2,3,3,3,6,5,1
6,4,3,10,2,3,2,3,5,5,2
6,5,3,10,2,2,2,3,6,5,1
6,4,3,10,2,3,2,2,7,5,2
6,4,3,10,2,3,3,2,7,5,2
6,10,3,4,6,3,0,5,10,3,5
6,5,3,9,1,4,2,3,6,6,2
6,5,3,10,2,4,2,3,7,6,1
6,5,3,10,1,3,2,3,7,5,1
6,10,4,3,6,3,0,7,10,2,5
6,4,4,10,2,3,2,3,6,5,2
6,10,4,3,5,4,1,6,10,3,5
6,4,3,9,2,4,2,2,6,6,3
6,9,4,4,6,3,1,6,10,2,7
6,4,4,9,1,4,2,2,6,6,2
6,10,3,4,6,4,1,6,10,2,6
6,6,3,10,2,3,2,3,6,6,2
6,5,3,10,2,4,2,3,6,6,3
6,5,3,10,2,2,2,2,6,6,1
6,5,3,10,2,3,2,2,7,5,2
6,10,4,4,6,4,0,5,9,3,7
6,5,3,9,2,3,1,2,7,5,1
6,10,3,4,6,3,1,5,9,3,5
6,4,4,10,2,3,2,2,6,5,2
6,5,2,10,2,3,2,3,6,6,2
6,4,3,10,2,3,2,3,6,6,1
6,10,3,4,6,4,1,6,9,2,5
6,4,3,10,2,3,2,2,6,5,1
6,9,3,3,6,4,1,6,9,3,5
6,5,4,10,3,3,3,3,6,5,1
6,11,3,4,6,3,1,6,10,2,6
6,4,2,9,2,3,2,3,7,5,2
6,10,3,4,5,3,1,6,9,2,6
6,4,9,4,5,5,8,8,7,10,4
6,10,3,3,5,3,1,6,10,2,6
6,5,4,10,2,3,3,2,6,6,2
6,9,4,4,6,4,1,7,10,3,6
7,3,8,3,5,4,8,9,7,10,4
7,3,8,4,5,5,7,9,6,11,4
7,3,8,3,5,4,8,8,7,10,4
7,11,2,4,5,4,1,6,10,2,7
7,3,9,4,5,5,8,9,7,11,4
7,3,8,4,3,5,8,9,7,10,3
7,5,4,10,1,4,2,2,6,5,2
7,10,3,4,6,4,2,7,11,2,6
7,3,9,4,5,5,9,8,5,10,4
7,10,4,4,6,4,1,5,10,3,6
7,3,8,4,4,5,8,9,7,10,4
7,9,3,4,5,4,1,6,10,3,7
7,10,4,4,6,4,1,6,10,3,6
7,3,8,4,5,4,8,10,8,9,4
7,4,3,10,1,3,2,3,7,6,2
7,10,4,4,6,3,0,5,10,3,6
7,3,9,4,4,5,8,9,6,10,3
7,3,9,4,4,5,9,9,7,9,4
