gid,v1,v2,v3,v4,v5
1,1,-1,0,-1,0
1,0,0,1,0,0
1,0,0,1,-2,1
1,1,0,1,-1,0
1,1,-1,1,1,-1
1,1,0,1,0,-1
1,0,1,1,0,0
1,2,-1,0,0,0
1,-2,0,1,2,0
1,0,-1,1,0,-1
1,0,0,-1,0,-1
1,1,-2,-1,-2,1
1,0,0,-1,-1,0
1,-1,1,1,-1,-1
2,3,0,4,2,5
2,4,0,4,4,2
2,3,1,3,2,5
2,3,1,3,1,4
2,3,1,4,2,4
2,4,1,3,3,2
2,3,2,4,2,5
2,4,1,3,3,4
2,4,0,4,3,1
2,4,1,5,2,4
2,3,1,3,3,1
2,5,0,3,3,1
2,4,1,4,3,1
2,4,0,3,1,4
2,4,0,5,4,1
2,3,1,3,1,5
2,4,0,3,2,4
2,4,2,3,2,5
2,3,0,5,3,1
2,3,0,4,1,4
2,4,2,3,3,4
2,3,1,3,2,4
2,1,6,2,3,3
2,4,0,5,5,1
2,4,1,4,5,1
2,3,0,3,2,4
2,1,4,1,2,4
2,4,0,3,3,1
2,4,0,3,2,5
2,4,0,3,2,4
2,4,1,4,2,5
2,4,0,4,3,2
2,3,1,4,2,4
2,4,1,3,1,4
2,3,1,4,2,5
2,3,1,3,2,4
2,3,1,4,3,2
2,4,1,3,3,1
2,4,1,3,2,5
2,3,1,4,2,4
2,4,1,3,2,5
2,3,1,2,2,4
2,3,1,4,2,4
2,3,1,4,2,4
2,4,-1,4,3,1
2,3,0,3,2,4
2,4,0,4,2,1
2,3,1,2,2,4
2,4,0,4,3,2
2,3,1,4,2,4
2,4,0,4,3,1
2,4,0,4,2,5
2,3,1,4,2,4
2,4,0,4,3,0
2,4,0,4,3,1
2,3,0,3,3,2
2,4,1,4,3,1
2,3,1,3,2,4
2,4,1,4,3,1
2,3,1,4,3,0
2,4,0,4,3,1
2,4,1,4,3,1
2,3,0,4,3,1
2,4,0,3,3,1
2,3,2,3,2,4
2,4,1,4,3,1
2,4,0,4,4,1
2,4,1,3,2,4
2,4,0,4,3,1
2,3,2,4,1,4
2,4,1,4,3,6
2,4,0,4,3,1
2,4,1,4,3,2
2,4,0,4,3,1
2,4,2,4,2,5
2,3,1,3,2,5
2,4,2,3,2,4
2,3,1,3,1,4
2,4,2,3,2,3
2,3,2,3,2,5
2,4,1,4,4,2
2,4,1,3,3,1
2,4,0,5,3,1
2,4,0,4,3,1
2,4,1,4,3,1
2,3,1,3,3,2
2,4,1,4,2,5
2,4,0,3,3,2
2,4,1,3,3,1
2,3,1,4,2,4
2,4,0,3,3,1
2,4,1,4,2,4
2,3,0,3,2,5
2,4,0,4,3,1
2,4,1,4,2,4
2,4,0,4,3,1
2,3,0,4,3,1
2,4,1,4,4,1
2,3,1,3,2,4
2,4,1,5,3,1
2,3,1,4,3,1
2,4,1,4,3,1
2,3,0,4,3,1
2,4,1,3,3,2
2,3,0,3,3,1
2,4,0,4,3,1
2,1,5,1,3,3
2,4,1,4,2,3
2,4,0,3,3,2
2,4,0,3,3,1
2,4,1,3,3,5
2,0,6,2,3,3
2,4,1,4,3,1
3,3,1,3,2,4
3,3,2,3,2,4
3,2,1,3,2,4
3,3,1,3,2,5
3,3,1,4,2,4
3,3,1,3,2,4
3,3,1,3,2,3
3,3,1,3,2,5
3,4,0,4,1,4
3,4,1,3,2,4
3,3,1,4,2,4
3,3,2,3,1,5
3,1,5,2,3,3
3,3,1,4,2,4
3,3,2,4,2,4
3,3,0,3,2,4
3,3,1,3,2,5
3,3,1,3,2,4
3,3,1,3,3,5
3,3,1,3,2,4
3,4,1,3,2,4
3,3,1,3,2,4
3,5,1,4,4,1
3,3,1,3,3,5
3,3,1,4,2,4
3,4,1,4,2,4
3,4,-1,4,3,1
3,4,1,4,1,5
3,3,1,4,2,4
3,3,1,4,2,5
3,4,1,3,2,4
3,3,1,3,1,4
3,3,1,3,2,4
3,3,2,3,2,5
3,3,1,4,2,5
3,3,0,3,2,5
3,4,1,4,2,4
3,3,1,3,2,4
3,4,0,5,3,1
3,3,1,3,2,4
3,4,1,3,2,4
3,4,1,3,1,4
3,3,2,3,2,4
3,3,0,4,3,1
3,3,1,3,2,4
3,3,1,3,1,5
3,3,0,3,2,4
3,3,1,3,2,4
3,4,1,4,3,1
3,3,1,3,2,5
3,3,1,3,2,5
3,1,6,2,3,3
3,3,1,3,2,5
3,4,1,4,2,4
3,0,5,2,2,3
3,4,1,4,2,4
3,1,5,2,2,3
3,4,0,3,2,4
3,3,0,3,2,4
3,4,0,3,2,4
3,4,1,3,2,4
3,4,0,4,3,1
3,4,0,3,2,5
3,3,0,2,1,4
3,3,1,4,2,5
3,0,5,2,3,4
3,3,0,4,1,3
3,3,1,4,2,5
3,4,1,3,3,2
3,3,1,4,1,5
3,4,1,4,2,3
3,3,1,3,2,4
3,3,1,4,2,4
3,4,0,2,1,4
3,3,1,4,2,4
3,3,1,3,1,5
3,4,1,4,2,4
3,4,1,3,1,4
3,4,1,4,2,4
3,3,0,3,2,5
3,3,0,3,2,5
3,1,5,2,3,3
3,4,1,3,2,4
3,4,1,4,2,5
3,1,4,2,2,4
3,4,1,3,2,5
3,3,1,4,2,4
3,3,1,4,2,4
3,1,5,2,3,4
3,4,1,3,2,4
3,3,1,3,2,4
3,3,2,4,2,4
3,3,1,4,1,3
4,0,5,2,3,3
4,4,1,4,3,1
4,0,5,2,2,4
4,4,-1,4,3,1
4,1,5,2,2,3
4,2,6,2,2,3
4,4,0,4,3,1
4,3,1,4,2,4
4,4,-1,4,2,1
4,4,1,4,3,1
4,5,0,4,3,1
4,4,0,3,3,1
4,1,5,2,3,4
4,4,0,3,3,1
4,3,1,3,1,4
4,0,6,2,3,3
4,1,5,1,3,3
4,4,0,4,3,1
4,2,4,2,3,3
4,1,5,2,3,4
4,4,1,4,3,1
4,0,4,1,2,4
4,5,1,4,3,1
4,4,1,3,4,1
4,1,4,1,3,3
4,0,5,1,2,3
4,4,0,4,4,1
4,3,1,4,3,1
4,1,5,2,2,3
4,3,0,4,3,2
4,3,2,4,3,1
4,1,5,2,2,3
4,4,0,4,3,0
4,1,5,2,3,3
4,4,1,4,2,2
4,1,5,1,3,4
4,1,5,1,2,3
4,4,0,5,3,2
4,4,1,3,3,1
4,3,1,5,3,1
4,0,5,2,3,3
4,4,0,4,3,1
4,1,5,2,2,3
4,1,5,1,3,3
4,3,1,3,3,0
4,4,0,5,2,0
4,4,1,4,3,1
4,5,0,4,3,2
4,3,1,3,3,1
4,3,0,3,3,1
4,1,5,2,3,4
4,4,0,4,3,1
4,4,0,4,4,1
4,4,1,4,3,1
4,4,0,4,3,1
4,4,1,4,3,1
4,3,0,4,3,1
4,4,1,4,3,1
4,4,1,4,3,1
4,4,0,3,4,1
4,3,1,4,2,5
4,4,1,4,3,1
4,4,0,4,3,1
4,2,5,1,3,3
4,4,0,4,3,1
4,3,0,4,3,0
4,1,5,1,2,3
4,0,5,1,2,4
4,4,0,5,3,2
4,4,0,3,3,1
4,4,0,4,3,1
4,4,0,4,3,1
4,0,5,2,2,3
4,4,1,4,3,3
4,0,5,2,3,3
4,4,0,3,2,1
4,4,1,3,2,0
4,3,0,4,3,1
4,1,4,1,1,4
4,0,4,2,2,3
4,4,0,4,3,1
4,4,1,4,3,1
4,0,5,2,2,3
4,3,0,3,3,1
4,4,0,4,4,0
4,0,4,2,3,2
4,1,5,2,3,3
4,4,1,4,3,1
4,0,4,2,3,4
4,3,1,3,3,1
4,4,0,4,4,1
4,1,5,3,2,3
5,4,1,3,2,4
5,3,1,3,1,5
5,3,1,2,1,5
5,1,5,1,2,3
5,0,5,2,2,4
5,3,1,4,2,4
5,4,1,4,2,4
5,3,1,3,2,4
5,1,5,2,3,3
5,1,5,2,2,3
5,3,1,3,1,4
5,4,1,4,3,4
5,1,5,1,4,3
5,3,1,3,3,1
5,4,0,4,2,5
5,4,1,3,2,4
5,1,5,1,2,3
5,4,1,4,2,5
5,1,5,3,2,3
5,1,4,2,2,3
5,4,1,3,2,4
5,4,1,3,2,4
5,3,2,4,2,4
5,1,4,2,2,3
5,4,1,4,2,5
5,3,1,3,2,5
5,0,4,2,2,4
5,4,1,4,1,4
5,1,5,2,3,4
5,3,2,3,2,4
5,3,1,3,2,5
5,4,1,3,1,5
5,3,1,3,2,4
5,4,1,4,1,4
5,1,5,1,2,3
5,4,0,4,3,1
5,4,0,3,1,5
5,3,1,3,1,4
5,4,0,3,2,4
5,1,5,2,3,3
5,2,0,4,2,4
5,4,0,4,1,4
5,4,1,3,2,5
5,3,1,2,2,4
5,3,2,3,2,4
5,3,1,4,2,5
5,4,1,4,2,4
5,3,1,2,2,4
5,3,0,3,2,5
5,4,1,3,3,4
5,3,1,3,2,4
5,3,1,4,2,5
5,4,1,3,2,4
5,3,1,4,2,5
5,1,5,2,2,4
5,4,0,3,1,4
5,0,5,2,3,3
5,1,5,2,2,3
5,3,1,3,2,5
5,4,1,3,2,4
5,4,1,3,2,5
5,0,5,2,3,4
5,4,1,3,1,4
5,3,1,3,2,4
5,4,2,4,2,4
5,0,6,2,3,2
5,3,1,4,3,4
5,2,0,4,2,5
5,1,5,2,3,4
5,4,1,3,2,5
5,1,5,2,3,3
5,1,6,2,2,4
5,3,1,3,2,5
5,3,1,4,1,5
5,4,1,2,2,4
5,4,1,4,2,4
5,1,5,1,3,3
5,3,1,4,1,4
5,0,5,2,3,4
5,0,5,2,2,3
5,2,1,3,2,4
5,4,1,3,2,5
5,3,1,3,2,4
5,1,5,2,3,3
5,1,5,2,1,4
5,1,5,1,2,4
5,4,2,3,2,5
5,3,1,4,2,3
5,3,1,4,2,4
5,4,0,3,2,5
5,1,5,2,2,3
5,4,0,4,2,4
5,1,4,2,2,3
5,0,4,2,2,3
5,0,5,2,3,3
5,1,5,1,3,3
5,3,1,4,1,5
5,1,6,2,3,3
5,3,1,4,1,5
5,3,0,4,3,4
5,0,5,2,3,3
5,5,1,3,2,4
5,3,1,4,2,4
5,1,5,2,3,4
5,4,0,4,2,5
6,0,6,2,3,3
6,4,0,4,3,1
6,0,5,2,3,3
6,5,1,4,3,1
6,3,-1,4,3,2
6,4,0,3,3,1
6,1,4,3,2,4
6,1,5,1,3,3
6,0,5,3,2,3
6,3,1,4,3,1
6,1,5,2,2,3
6,1,5,1,2,3
6,4,1,4,3,1
6,1,5,2,3,3
6,3,1,4,3,1
6,4,1,3,3,1
6,4,0,5,2,1
6,4,1,3,3,1
6,1,6,1,2,3
6,4,1,4,3,2
6,3,1,3,2,4
6,4,0,5,3,2
6,4,1,4,2,2
6,1,5,2,2,2
6,4,0,4,3,2
6,0,5,1,3,3
6,4,0,4,3,2
6,4,0,3,3,1
6,1,5,2,3,3
6,4,0,4,4,2
6,4,1,3,3,1
6,1,5,2,3,3
6,0,5,2,3,3
6,4,0,4,3,1
6,1,5,1,3,3
6,4,0,4,3,1
6,3,1,4,2,1
6,0,4,2,2,2
6,4,0,4,3,2
6,4,0,4,4,1
6,4,1,4,3,1
6,4,0,4,3,0
6,5,1,4,3,1
6,4,0,4,4,1
6,4,0,3,2,1
6,1,5,2,2,3
6,1,5,2,2,3
6,1,5,1,3,3
6,1,5,2,2,4
6,3,0,4,3,1
6,5,0,4,4,0
6,3,1,4,3,2
6,3,1,4,2,5
6,1,4,2,3,3
6,3,1,4,3,0
6,4,0,4,3,1
6,1,5,2,2,3
6,4,1,5,3,1
6,3,1,5,3,1
6,4,0,5,3,1
6,4,0,4,4,1
6,1,4,2,2,3
6,4,0,4,2,1
6,1,4,1,3,4
6,4,0,3,4,1
6,4,0,5,3,1
6,1,5,2,2,3
6,2,5,0,2,3
6,0,5,1,2,3
6,5,0,4,3,1
6,4,1,3,3,1
6,4,1,4,3,1
6,4,1,3,3,1
6,1,6,3,2,3
6,1,5,2,2,4
6,4,0,5,3,1
6,0,5,2,2,3
6,5,1,4,3,2
6,1,5,2,2,3
6,3,0,4,4,1
6,3,0,3,4,1
6,0,5,2,2,4
6,0,5,2,2,3
6,5,0,4,3,3
6,2,5,2,3,3
6,4,0,4,3,1
6,3,0,4,3,1
6,0,5,2,3,4
6,3,0,4,3,1
6,4,0,3,4,1
6,4,0,3,3,1
6,4,0,5,4,1
6,3,0,3,3,1
6,2,1,4,4,1
6,4,1,4,4,2
6,4,1,4,3,2
6,1,4,1,2,3
6,3,1,4,4,2
6,4,1,4,3,1
6,2,1,4,4,1
6,4,0,4,3,1
6,5,1,5,3,1
6,1,5,1,3,3
6,1,4,2,3,3
6,4,0,4,3,0
6,4,1,4,4,1
6,4,1,4,3,1
7,1,5,1,3,3
7,4,1,3,2,1
7,1,5,2,3,3
7,3,1,4,3,1
7,1,5,1,2,3
7,3,0,3,4,2
7,3,0,4,3,2
7,4,0,4,3,1
7,0,5,2,3,3
7,1,5,2,2,3
7,4,1,4,3,1
7,4,0,4,3,0
7,0,6,2,2,4
7,2,5,2,3,4
7,4,1,4,1,4
7,0,4,1,3,3
7,1,5,2,2,4
7,4,1,5,3,1
7,4,0,4,3,0
7,1,4,2,2,3
7,4,0,5,4,1
7,5,1,4,3,1
7,1,5,2,2,3
7,4,0,3,3,2
7,4,1,4,3,1
7,4,0,4,3,1
7,4,0,3,2,1
7,4,0,4,3,0
7,4,0,4,3,1
7,4,0,4,2,1
7,1,4,2,3,3
7,3,0,4,2,1
7,3,0,4,3,1
7,0,5,2,2,4
7,0,5,2,2,3
7,3,0,4,3,2
7,4,-1,3,3,1
7,4,0,4,3,2
7,4,1,4,4,1
7,4,1,3,3,1
7,4,2,4,3,1
7,4,1,4,4,1
7,4,1,4,3,1
7,4,1,4,4,1
7,0,5,2,2,4
7,4,0,4,3,1
7,4,0,4,3,2
7,0,5,1,3,4
7,4,0,3,3,1
7,4,1,3,3,1
7,4,1,3,3,0
7,0,6,1,2,3
7,4,1,4,2,1
7,4,1,4,4,1
7,4,1,4,3,1
7,1,4,1,2,3
7,1,4,1,3,3
7,4,0,4,3,1
7,0,5,1,3,4
7,1,5,1,2,3
7,4,1,5,4,1
7,5,1,4,4,1
7,3,1,3,3,4
7,0,5,2,3,3
7,4,0,4,3,2
7,0,5,1,3,4
7,1,5,2,3,3
7,5,1,4,3,1
7,0,5,1,3,4
7,1,5,1,3,3
7,4,0,3,3,1
7,0,6,1,2,4
7,4,0,4,3,1
7,4,1,4,2,1
7,4,0,4,2,1
7,4,1,4,3,1
7,1,5,2,3,3
7,5,1,3,3,1
7,0,5,1,2,4
7,1,5,2,3,4
7,4,1,4,4,1
7,0,6,1,3,3
7,5,0,4,4,1
7,4,0,4,3,1
7,4,1,4,3,0
7,4,1,3,3,5
7,4,0,4,3,1
7,5,1,4,2,1
7,4,0,3,2,1
7,0,5,2,2,4
7,1,5,2,4,3
7,4,1,5,3,1
7,4,0,3,4,1
7,1,4,2,3,3
7,4,1,3,3,1
7,1,5,2,2,3
7,4,1,4,3,1
7,4,0,5,2,1
7,4,1,4,2,1
7,3,1,4,4,1
7,4,1,5,3,1
7,4,0,4,3,0
7,4,0,4,3,2
7,4,0,4,3,2
7,0,5,1,2,4
7,5,1,4,3,1
7,5,0,4,4,2
7,1,4,1,3,2
7,1,5,2,2,3
7,0,4,1,2,4
7,4,0,3,3,1
8,2,1,3,3,4
8,1,5,2,2,4
8,3,1,4,3,4
8,1,5,2,2,4
8,4,0,4,2,4
8,0,5,1,1,3
8,3,2,3,2,5
8,1,5,2,2,4
8,3,1,2,2,4
8,1,4,2,3,3
8,0,5,2,2,3
8,3,1,3,2,4
8,1,4,2,2,3
8,3,1,4,1,4
8,3,1,3,2,5
8,3,1,4,2,4
8,3,1,4,1,5
8,3,0,3,3,1
8,4,1,4,2,4
8,3,1,3,2,5
8,3,1,4,1,4
8,1,5,1,3,4
8,0,5,2,2,4
8,1,5,1,2,4
8,3,1,4,2,4
8,4,0,4,3,1
8,4,1,4,2,4
8,1,6,1,2,3
8,4,1,4,2,5
8,3,1,3,2,4
8,1,5,1,3,4
8,4,0,3,2,4
8,3,2,3,3,4
8,0,5,2,2,4
8,3,0,4,2,4
8,1,5,2,3,3
8,3,1,4,2,4
8,3,1,3,1,5
8,0,5,2,3,3
8,1,4,1,3,3
8,2,1,3,2,4
8,3,0,3,2,5
8,1,6,1,3,3
8,1,5,1,3,5
8,1,5,1,2,3
8,3,1,3,2,4
8,4,1,2,1,5
8,4,1,3,3,5
8,3,2,3,1,4
8,1,4,2,2,3
8,4,0,5,2,1
8,1,5,2,2,4
8,5,0,4,3,1
8,3,1,3,2,5
8,1,5,1,3,3
8,1,5,1,3,4
8,4,0,3,1,5
8,3,1,3,2,4
8,4,1,4,1,3
8,0,5,2,2,3
8,4,1,4,2,4
8,3,1,3,3,4
8,1,5,2,2,3
8,3,1,3,2,4
8,3,1,3,1,3
8,1,5,2,3,3
8,1,5,2,2,3
8,1,6,2,3,3
8,3,1,4,2,4
8,3,1,3,1,4
8,3,1,3,2,5
8,4,1,3,1,4
8,3,1,3,2,5
8,3,0,4,2,4
8,4,1,3,2,4
8,3,1,3,2,4
8,1,5,1,2,3
8,4,0,4,3,1
8,0,6,1,2,3
8,3,1,4,2,5
8,4,0,4,2,4
8,4,0,3,2,5
8,4,1,4,2,4
8,3,1,3,1,4
8,4,1,4,3,1
8,3,1,4,2,4
8,1,5,2,3,3
8,4,1,3,2,5
8,3,1,4,3,4
8,4,0,4,2,0
8,3,1,4,2,4
8,3,1,4,1,4
8,1,6,2,2,3
8,4,1,4,2,4
8,3,0,4,2,4
8,0,4,2,2,3
8,4,1,4,2,4
8,4,1,4,2,4
8,4,1,3,1,4
8,4,1,3,2,4
8,3,1,4,2,4
8,4,0,4,2,4
8,3,1,3,1,5
8,3,1,4,2,4
8,1,5,1,2,3
8,4,1,3,2,5
8,3,1,3,2,5
8,3,1,4,2,3
8,4,1,3,2,4
8,3,1,4,2,5
8,4,0,3,1,4
9,4,1,5,4,2
9,0,6,1,3,3
9,5,0,4,3,1
9,1,5,2,2,4
9,4,1,4,3,1
9,4,0,4,3,1
9,3,1,4,3,1
9,0,4,1,3,3
9,4,0,4,3,1
9,3,1,4,3,0
9,1,5,2,3,3
9,4,0,4,3,1
9,4,0,4,3,1
9,4,0,3,2,0
9,0,5,2,2,3
9,3,0,4,3,2
9,4,1,4,4,1
9,4,1,4,4,1
9,3,1,4,3,1
9,5,0,4,4,1
9,4,0,4,3,1
9,1,4,1,2,4
9,1,5,2,3,4
9,4,0,3,3,1
9,1,6,2,2,3
9,4,0,3,3,1
9,4,0,4,2,1
9,3,1,3,3,1
9,4,0,4,3,0
9,4,0,4,3,1
9,0,5,1,3,3
9,3,1,4,4,2
9,0,5,1,2,3
9,4,1,4,4,1
9,3,1,4,2,4
9,4,1,4,3,2
9,1,5,2,3,3
9,4,0,4,3,1
9,4,0,3,3,1
9,0,5,3,3,4
9,4,1,4,3,1
9,4,0,4,2,1
9,4,0,3,4,1
9,0,5,2,3,3
9,3,0,4,3,1
9,0,5,1,2,4
9,3,1,4,3,1
9,1,6,1,2,4
9,1,5,2,3,3
9,1,5,2,3,4
9,4,0,4,3,1
9,0,5,2,3,3
9,4,-1,4,3,1
9,1,5,1,3,3
9,3,1,3,2,4
9,4,0,3,3,1
9,1,4,1,2,4
9,1,6,2,3,3
9,4,0,4,3,1
9,1,5,1,2,3
9,4,0,4,1,4
9,4,0,4,3,1
9,0,5,2,4,4
9,4,0,3,3,0
9,2,4,1,3,3
9,4,0,4,3,1
9,1,5,1,1,3
9,3,1,3,3,1
9,4,1,4,3,1
9,4,0,4,4,1
9,4,1,4,3,2
9,3,0,4,4,0
9,3,0,4,3,1
9,4,1,4,3,1
9,0,5,2,3,4
9,4,1,5,4,1
9,5,1,5,4,2
9,3,1,3,2,1
9,5,1,4,3,0
9,1,5,2,2,3
9,4,0,4,3,1
9,3,0,3,2,4
9,0,5,2,3,2
9,1,5,2,2,3
9,3,1,4,4,1
9,4,0,3,3,1
9,1,5,1,3,3
9,3,0,3,3,1
9,3,0,4,3,1
9,4,1,4,2,0
9,1,6,2,3,3
9,4,1,4,3,0
9,4,1,4,4,0
9,0,5,2,2,4
9,1,4,2,3,4
9,1,5,2,3,3
9,2,5,2,2,4
9,4,0,4,3,1
9,1,5,2,2,3
9,3,0,4,2,5
9,4,0,5,3,1
9,1,5,1,2,4
9,4,1,3,3,1
9,1,5,3,3,3
9,4,0,4,2,2
9,4,1,3,2,1
10,3,1,3,2,5
10,1,4,2,2,3
10,1,5,2,3,3
10,0,5,2,2,4
10,4,0,3,2,5
10,3,1,3,2,5
10,4,1,3,2,5
10,1,5,2,2,3
10,2,4,2,3,3
10,0,5,2,2,4
10,1,5,2,3,2
10,3,1,3,2,5
10,3,1,2,3,4
10,3,1,4,1,5
10,4,0,3,3,0
10,1,5,2,2,3
10,4,2,4,2,4
10,1,5,3,3,3
10,2,4,2,2,4
10,4,0,3,2,5
10,0,5,2,3,3
10,4,1,3,2,5
10,2,1,4,2,4
10,3,0,4,2,5
10,1,5,2,2,4
10,3,1,3,2,5
10,4,1,4,2,4
10,3,1,4,2,4
10,1,5,2,2,3
10,4,1,3,1,3
10,4,1,4,2,1
10,3,1,3,2,4
10,3,1,3,1,5
10,3,1,4,1,4
10,3,1,4,3,5
10,4,1,3,1,4
10,1,4,1,3,3
10,4,0,3,1,4
10,3,1,3,2,5
10,4,1,4,1,4
10,2,5,2,3,3
10,1,5,1,3,3
10,1,5,2,2,3
10,3,1,3,2,4
10,3,1,4,2,4
10,4,1,4,2,4
10,4,0,3,1,4
10,4,1,3,2,4
10,1,5,1,3,4
10,4,1,3,1,4
10,3,2,2,2,5
10,4,1,5,3,1
10,3,1,4,2,4
10,3,0,3,2,4
10,1,5,2,3,3
10,4,1,4,2,4
10,4,1,3,2,4
10,0,5,2,2,3
10,0,6,2,3,2
10,3,1,4,1,4
10,3,1,4,2,4
10,3,1,4,2,4
10,3,1,4,2,4
10,0,6,1,2,3
10,4,1,3,3,4
10,0,5,2,3,3
10,4,1,4,1,4
10,4,1,3,3,4
10,3,0,3,2,5
10,4,0,4,3,4
10,3,1,3,2,4
10,4,0,4,1,5
10,4,1,3,2,5
10,3,1,4,2,4
10,3,1,4,2,5
10,4,0,3,3,4
10,4,0,3,2,4
10,0,5,2,3,3
10,4,1,4,3,1
10,1,4,1,3,3
10,3,2,4,2,4
10,3,0,3,2,4
10,1,5,2,3,3
10,3,0,3,2,4
10,1,5,1,3,3
10,4,1,3,2,5
10,0,4,1,3,3
11,4,1,4,2,4
11,4,1,3,1,4
11,3,1,4,2,4
11,3,0,3,2,4
11,4,1,3,2,4
11,3,0,4,1,4
11,4,1,3,2,5
11,4,1,4,2,5
11,3,1,4,1,4
11,4,1,4,1,5
11,1,5,2,3,3
11,3,0,4,1,5
11,4,2,4,1,4
11,4,0,4,2,4
11,4,0,4,1,4
11,1,5,2,2,3
11,4,1,5,2,5
11,4,1,3,2,3
11,1,5,1,2,3
11,0,5,1,2,3
11,3,1,3,2,4
11,1,5,2,3,4
11,4,1,4,1,4
11,3,1,3,1,5
11,4,1,4,2,4
11,3,1,4,2,4
11,0,5,2,2,3
11,3,1,3,2,4
11,3,1,3,2,4
11,4,1,4,4,1
11,4,0,4,2,4
11,3,1,3,2,4
11,3,1,4,2,4
11,0,5,2,2,3
11,3,1,4,3,4
11,3,0,3,2,4
11,0,5,2,3,3
11,3,0,4,2,4
11,3,1,3,1,4
11,1,5,2,3,2
11,3,1,3,2,4
11,0,6,1,2,3
11,3,0,4,2,4
11,3,1,4,2,5
11,1,5,1,2,3
11,3,1,4,2,5
11,4,2,4,1,5
11,0,5,3,2,3
11,1,5,2,3,3
11,4,1,4,2,5
11,3,1,3,1,5
11,1,5,1,2,3
11,0,5,2,2,4
11,3,1,3,2,5
11,3,1,3,2,4
11,3,1,4,2,4
11,3,2,3,2,4
11,3,1,3,2,5
11,4,1,4,1,4
11,2,1,4,1,4
11,1,5,2,2,4
11,4,0,3,4,2
11,4,1,4,2,5
11,1,4,2,2,3
11,0,4,2,2,3
11,3,1,4,1,4
11,3,1,4,2,4
11,4,1,4,1,5
11,1,5,2,3,3
11,1,5,1,3,3
11,0,4,1,2,3
11,1,5,2,2,4
11,0,4,2,2,3
11,4,0,4,2,5
11,4,1,4,2,5
11,3,1,4,2,4
11,3,1,4,2,5
11,1,5,1,3,4
11,3,1,4,2,4
11,4,2,4,1,5
11,4,1,3,1,4
11,0,5,2,2,3
11,3,0,3,2,3
11,3,1,3,2,5
11,3,0,3,1,5
11,1,5,3,3,3
11,4,0,4,2,4
11,3,1,3,3,4
11,4,0,3,2,4
11,3,0,4,2,5
11,1,5,2,3,3
11,1,5,2,2,3
11,0,5,2,2,4
11,3,0,4,2,4
11,3,1,3,2,4
11,3,0,4,2,4
11,3,1,3,2,5
11,4,1,3,2,5
11,1,4,1,2,3
11,1,5,2,2,3
11,3,0,3,2,5
11,4,1,4,1,4
11,4,1,4,2,4
11,0,5,2,3,4
